MAC	b37	b38
1195	0	1
1196	1	4
1197	1	0
1198	1	0
1199	2	4
1200	2	0
1201	0	0
1202	0	3
1203	3	3
1204	0	0
1205	0	1
1206	2	4
1207	5	2
1208	0	2
1209	1	2
1210	3	2
1211	2	0
1212	0	1
1213	0	0
1214	0	0
1215	0	1
1216	2	2
1217	0	0
1218	1	2
1219	0	2
1220	0	0
1221	1	2
1222	3	5
1223	3	2
1224	1	3
1225	3	3
1226	2	1
1227	5	4
1228	1	2
1229	1	0
1230	1	1
1231	0	0
1232	1	1
1233	2	0
1234	1	4
1235	0	3
1236	4	0
1237	0	1
1238	0	2
1239	2	0
1240	1	1
1241	1	1
1242	1	1
1243	1	1
1244	2	3
1245	0	1
1246	3	1
1247	0	0
1248	2	3
1249	2	3
1250	2	2
1251	1	0
1252	1	0
1253	0	2
1254	1	1
1255	1	2
1256	0	0
1257	0	1
1258	1	2
1259	1	0
1260	0	1
1261	0	1
1262	1	1
1263	1	1
1264	1	3
1265	2	3
1266	2	0
1267	0	1
1268	1	0
1269	1	0
1270	1	0
1271	0	1
1272	1	1
1273	1	3
1274	0	2
1275	3	4
1276	2	2
1277	2	0
1278	1	1
1279	0	0
1280	2	1
1281	3	4
1282	1	2
1283	2	1
1284	0	2
1285	2	1
1286	0	1
1287	1	0
1288	1	0
1289	0	2
1290	0	2
1291	2	2
1292	2	0
1293	1	2
1294	1	2
1295	1	2
1296	2	1
1297	2	5
1298	3	4
1299	1	2
1300	1	0
1301	0	0
1302	2	0
1303	0	1
1304	3	1
1305	2	0
1306	2	4
1307	1	0
1308	2	3
1309	2	1
1310	1	4
1311	2	1
1312	2	3
1313	1	1
1314	1	0
1315	0	0
1316	1	1
1317	0	1
1318	3	0
1319	0	0
1320	1	2
1321	1	2
1322	3	0
1323	3	6
1324	0	1
1325	0	1
1326	2	3
1327	2	1
1328	0	1
1329	1	0
1330	6	1
1331	0	3
1332	0	3
1333	3	5
1334	2	1
1335	0	3
1336	1	1
1337	2	1
1338	0	1
1339	0	1
1340	0	2
1341	1	0
1342	0	1
1343	2	2
1344	1	6
1345	2	2
1346	0	4
1347	3	0
1348	1	0
1349	0	3
1350	1	1
1351	1	0
1352	2	3
1353	1	4
1354	2	3
1355	3	1
1356	0	0
1357	0	1
1358	0	2
1359	1	2
1360	0	4
1361	8	3
1362	0	1
1363	0	0
1364	0	1
1365	0	0
1366	1	2
1367	3	3
1368	7	7
1369	3	2
1370	1	3
1371	0	3
1372	1	1
1373	2	2
1374	3	1
1375	0	0
1376	1	2
1377	2	1
1378	2	2
1379	1	0
1380	2	3
1381	3	4
1382	1	3
1383	4	0
1384	1	0
1385	1	3
1386	1	3
1387	1	1
1388	3	1
1389	0	1
1390	2	1
1391	2	2
1392	4	5
1393	1	2
1394	2	2
1395	2	0
1396	0	0
1397	5	4
1398	2	1
1399	1	4
1400	2	1
1401	2	1
1402	1	3
1403	0	1
1404	1	1
1405	0	0
1406	1	1
1407	2	0
1408	1	2
1409	3	2
1410	0	0
1411	3	4
1412	2	4
1413	0	0
1414	0	2
1415	1	4
1416	5	4
1417	0	0
1418	1	1
1419	0	0
1420	0	2
1421	5	4
1422	1	1
1423	0	3
1424	4	4
1425	3	1
1426	1	3
1427	1	0
1428	1	0
1429	0	1
1430	2	3
1431	2	1
1432	3	2
1433	1	2
1434	1	1
1435	2	1
1436	1	3
1437	3	2
1438	1	3
1439	0	0
1440	0	0
1441	2	1
1442	1	3
1443	0	0
1444	0	2
1445	1	0
1446	0	0
1447	0	0
1448	1	1
1449	0	3
1450	3	1
1451	1	2
1452	2	2
1453	1	1
1454	0	0
1455	2	3
1456	1	2
1457	2	1
1458	0	3
1459	2	0
1460	1	1
1461	0	2
1462	3	1
1463	2	0
1464	1	3
1465	3	2
1466	1	2
1467	1	1
1468	0	0
1469	0	0
1470	0	0
1471	0	0
1472	0	1
1473	1	0
1474	1	3
1475	0	1
1476	0	1
1477	1	0
1478	0	0
1479	0	0
1480	1	2
1481	0	0
1482	0	2
1483	1	1
1484	1	0
1485	0	0
1486	1	1
1487	0	0
1488	0	0
1489	1	1
1490	2	2
1491	1	0
1492	0	1
1493	2	1
1494	1	1
1495	1	0
1496	0	2
1497	0	0
1498	0	0
1499	1	1
1500	0	0
1501	1	2
1502	1	0
1503	0	0
1504	2	2
1505	4	4
1506	2	1
1507	1	1
1508	4	1
1509	6	7
1510	0	1
1511	0	3
1512	1	1
1513	2	1
1514	1	3
1515	5	4
1516	3	3
1517	0	2
1518	5	2
1519	1	2
1520	1	2
1521	1	1
1522	1	0
1523	3	4
1524	2	4
1525	3	1
1526	0	2
1527	2	1
1528	4	6
1529	0	2
1530	1	0
1531	1	0
1532	3	5
1533	4	3
1534	3	4
1535	2	4
1536	4	2
1537	0	2
1538	2	2
1539	4	2
1540	2	4
1541	3	3
1542	3	1
1543	2	1
1544	0	1
1545	1	1
1546	2	4
1547	3	4
1548	2	2
1549	2	1
1550	3	2
1551	2	5
1552	7	4
1553	6	8
1554	2	3
1555	5	3
1556	2	3
1557	3	0
1558	1	2
1559	2	4
1560	1	1
1561	3	4
1562	2	1
1563	5	2
1564	6	8
1565	5	6
1566	2	3
1567	3	2
1568	1	2
1569	2	2
1570	1	0
1571	1	0
1572	2	2
1573	3	4
1574	0	1
1575	3	1
1576	2	3
1577	2	1
1578	1	3
1579	1	3
1580	1	0
1581	1	3
1582	1	0
1583	3	1
1584	0	1
1585	1	0
1586	1	0
1587	1	5
1588	4	2
1589	2	2
1590	0	2
1591	2	2
1592	1	4
1593	1	3
1594	5	3
1595	7	11
1596	6	3
1597	0	1
1598	3	1
1599	3	1
1600	2	0
1601	0	1
1602	1	0
1603	1	1
1604	2	4
1605	1	3
1606	3	5
1607	3	1
1608	4	4
1609	4	6
1610	4	1
1611	13	15
1612	2	7
1613	3	2
1614	2	0
1615	1	0
1616	1	0
1617	0	1
1618	0	1
1619	2	1
1620	1	1
1621	0	1
1622	4	4
1623	3	4
1624	9	10
1625	0	0
1626	1	1
1627	0	1
1628	2	2
1629	1	1
1630	3	1
1631	0	3
1632	1	0
1633	3	1
1634	2	2
1635	0	6
1636	2	0
1637	1	2
1638	1	0
1639	0	1
1640	0	0
1641	1	2
1642	3	2
