Index,R2_base,R2_boot_1,R2_boot_2,R2_boot_3,R2_boot_4,R2_boot_5,R2_boot_6,R2_boot_7,R2_boot_8,R2_boot_9,R2_boot_10
21,0.9818917154464473,0.9573596904238925,0.9742732187855937,0.9842336879371121,0.9692197206249028,0.9905609824641637,0.9574068832777479,0.9992914995415442,0.9996342180742519,0.9781933262200113,0.98807489720631
22,0.9187482025961594,0.9268364711821769,0.9244502510108229,0.9011584823830682,0.9071202431240024,0.8979369135924655,0.9104935699595733,0.9209498807476079,0.8940376116084472,0.9183241942638086,0.9142363478497297
23,0.001435280245135669,0.0005714680342219051,0.000730151215739172,0.0014631026093605971,0.0029634630437061433,0.0018861586714848267,0.001269736807404181,0.0030165673463028743,0.0013560145085291773,0.0026006914785853684,0.003663132358924426
24,0.8410063820432186,0.8310743796907107,0.8163766633676466,0.8095089516791883,0.8906027320245106,0.8716521980390871,0.8157217356959726,0.856876457356624,0.8582428680941345,0.8460993423481813,0.8926648922989977
25,0.8985877203882845,0.8852355483186813,0.91299213267968,0.8824840925888605,0.8738955030612366,0.8983163874101301,0.8752442275869966,0.8952064309954098,0.8860196827062565,0.9213006652049669,0.8924451427319385
26,0.0014352798907965535,0.0005714680696680172,0.0007301517319612448,0.001463101162203909,0.0029634653400922874,0.001886158761970228,0.0012697374113480253,0.0030165647561050937,0.0013560139263702092,0.0026006872699221306,0.0036631343605829005
27,0.9999980099261863,0.9999980745941319,0.9999974422603776,0.9999975058230739,0.9999956553939016,0.999999316263463,0.9999994335102921,0.9999999531784857,0.9999970296958559,0.9999992668478708,0.9999990294019944
28,0.8826609012541569,0.8787226220985626,0.9004469649906044,0.8658534152533873,0.8599219645136211,0.8643940830221291,0.8570346813055604,0.884936859021144,0.843695485757531,0.8935817578728952,0.8764219810730618
29,0.8887847459789023,0.8729497221093165,0.9074991666159703,0.8669588842089565,0.8717053631113588,0.8821846909939157,0.8678198394436054,0.8921723356944483,0.8665849772600329,0.9154177859951468,0.8804822240167317
30,0.0860210934607879,0.12841286879414007,0.19853946689969817,0.19999684573859614,0.07816982493046358,0.04606683158416426,0.08362456926897327,0.13097109122096354,0.13348831276250556,0.08399481364968732,0.07770973683502232
31,0.9892836817015442,0.9875129141253964,0.9905553844508468,0.9871505612312101,0.98316385048272,0.9860376643839807,0.983767318486949,0.989621711804263,0.9848692855699265,0.9838856513183842,0.9913293445054111
32,0.11046240411757535,0.10354759763756034,0.14552497395796704,0.17796834300921793,0.14700079888804934,0.06827774696223207,0.068470603356128,0.08851405134222767,0.13020413294532857,0.10996964921222822,0.13430437916855958
33,0.04518232417206047,0.062253375693030556,0.1488827167749982,0.048723214692813877,0.08510385928659094,0.017796274488121443,0.019287276947615662,0.023026534296550452,0.05109062765597037,0.04765615717732562,0.1195968891725688
34,0.7546613342956667,0.8280440513602061,0.7795364253355439,0.7849871678418419,0.6378511674717152,0.7618592599217948,0.7474465783926012,0.6711027239552821,0.7639337246800524,0.7109170034864761,0.69146753667946
35,0.17623435164228785,0.0002518662807916067,0.11429878376240701,0.0398253686928895,0.13101823484910083,0.2641570802090676,0.2836307297850255,0.2994888577407667,0.334120452963226,0.00026872903751256304,0.2465429044612048
